
步骤0	当前分析栈:voidmain(){A}#	余留符号串：voidmain(){intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤1	当前分析栈:main(){A}#	余留符号串：main(){intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤2	当前分析栈:(){A}#	余留符号串：(){intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤3	当前分析栈:){A}#	余留符号串：){intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤4	当前分析栈:{A}#	余留符号串：{intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤5	当前分析栈:A}#	余留符号串：intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤6	当前分析栈:CA}#	余留符号串：intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤7	当前分析栈:XBRA}#	余留符号串：intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤8	当前分析栈:YZ;BRA}#	余留符号串：intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤9	当前分析栈:intZ;BRA}#	余留符号串：intsum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤10	当前分析栈:Z;BRA}#	余留符号串：sum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤11	当前分析栈:UZ';BRA}#	余留符号串：sum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤12	当前分析栈:@ASS_UidU'Z';BRA}#	余留符号串：sum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:#
步骤13	当前分析栈:idU'Z';BRA}#	余留符号串：sum=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:sum#
步骤14	当前分析栈:U'Z';BRA}#	余留符号串：=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:sum#
步骤15	当前分析栈:=L@EQ_U'Z';BRA}#	余留符号串：=0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:sum#
步骤16	当前分析栈:L@EQ_U'Z';BRA}#	余留符号串：0,a=5,b=4,c,a;for(inti=1;i<11;i++){sum=sum+i;for(intj=1;j<11;j++){a=(1+2)*3;}}if(a>b){c=0;if(a>c){c=0;}else{c=1;}}else{c=1;}}#	语义栈:sum#
